hour,latitude,longitude,weight
16-20,40.7695770264,-73.8631439209,18789.28800313
16-20,40.7503509521,-73.9908599854,12753.046055795
16-20,40.7736968994,-73.872756958,11883.458084136
16-20,40.6446075439,-73.782119751,10571.080438761
16-20,40.7736968994,-73.871383667,9767.587309146
16-20,40.7517242432,-73.9936065674,9124.696206696
16-20,40.7791900635,-73.962020874,8355.825882195
16-20,40.7489776611,-73.9922332764,7852.281559175999
16-20,40.7682037354,-73.9826202393,7753.4568035580005
16-20,40.7627105713,-73.9675140381,6823.14593043
16-20,40.7558441162,-73.9908599854,6181.329661787
16-20,40.7791900635,-73.9537811279,5810.5161214889995
16-20,40.7805633545,-73.9812469482,5686.158492306
16-20,40.7791900635,-73.9551544189,5663.771199876999
16-20,40.7517242432,-73.9757537842,5541.243564097001
16-20,40.7503509521,-73.9949798584,5481.32460027
16-20,40.7640838623,-73.9730072021,5419.8120354
16-20,40.7668304443,-73.9537811279,5371.977479119
16-20,40.7640838623,-73.9688873291,5324.39764891
16-20,40.7517242432,-73.9785003662,5115.762006479999
16-20,40.7627105713,-73.9785003662,5092.9745461170005
16-20,40.7613372803,-73.9688873291,5053.377299952001
16-20,40.7627105713,-73.9661407471,4875.843343061
16-20,40.7530975342,-73.9785003662,4784.7819967450005
16-20,40.7627105713,-73.9743804932,4783.220768
16-20,40.7146453857,-74.0155792236,4678.394364654
16-20,40.7517242432,-73.9771270752,4662.294829222999
16-20,40.7627105713,-73.9826202393,4648.784696985
16-20,40.7503509521,-73.9922332764,4618.698574778
16-20,40.7434844971,-73.9839935303,4615.881140438
16-20,40.7640838623,-73.9812469482,4601.6057500140005
16-20,40.7640838623,-73.9771270752,4564.186959027
16-20,40.7421112061,-74.0045928955,4503.357751142
16-20,40.7421112061,-73.9936065674,4403.738160667001
16-20,40.7572174072,-73.9716339111,4362.067838737999
16-20,40.7682037354,-73.9812469482,4361.441355997
16-20,40.740737915,-74.0059661865,4307.6894259929995
16-20,40.7558441162,-73.9730072021,4303.308405221
16-20,40.7489776611,-73.9881134033,4268.311984078
